frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
270,0,"beforeCip->afterCipVelocity",0.000050731,-0.000001533,0.001628906,0.001628906,"afterCipVelocity","GXV",79,64
270,0,"afterCipVelocity->afterRhs",-0.000006738,-0.000010538,0,0,"afterRhs","GXV",79,64
270,0,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,1,"beforeCip->afterCipVelocity",0.000051548,-0.000002127,0.001639366,0.001639366,"afterCipVelocity","GXV",79,64
270,1,"afterCipVelocity->afterRhs",-0.000006739,-0.000010098,0,0,"afterRhs","GXV",79,64
270,1,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,1,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,2,"beforeCip->afterCipVelocity",0.000052379,-0.000002713,0.001649916,0.001649916,"afterCipVelocity","GXV",79,64
270,2,"afterCipVelocity->afterRhs",-0.00000674,-0.000009658,0,0,"afterRhs","GXV",79,64
270,2,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,2,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,3,"beforeCip->afterCipVelocity",0.000053222,-0.000003303,0.001660585,0.001660585,"afterCipVelocity","GXV",79,64
270,3,"afterCipVelocity->afterRhs",-0.000006741,-0.000009218,0,0,"afterRhs","GXV",79,64
270,3,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,3,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,4,"beforeCip->afterCipVelocity",0.00005408,-0.000003888,0.001671344,0.001671344,"afterCipVelocity","GXV",79,64
270,4,"afterCipVelocity->afterRhs",-0.00000674,-0.000008782,0,0,"afterRhs","GXV",79,64
270,4,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,4,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,5,"beforeCip->afterCipVelocity",0.000054951,-0.00000447,0.001682222,0.001682222,"afterCipVelocity","GXV",79,64
270,5,"afterCipVelocity->afterRhs",-0.000006742,-0.000008346,0,0,"afterRhs","GXV",79,64
270,5,"afterRhs->afterNewGradV",0,0,-0.000004977,-0.000004977,"afterNewGradV","GXV",79,64
270,5,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
270,6,"beforeCip->afterCipVelocity",0.000055835,-0.000005051,0.001693159,0.001693159,"afterCipVelocity","GXV",79,64
270,6,"afterCipVelocity->afterRhs",-0.000006742,-0.000007913,0,0,"afterRhs","GXV",79,64
270,6,"afterRhs->afterNewGradV",0,0,-0.000005007,-0.000005007,"afterNewGradV","GXV",79,64
270,6,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
